编号,文件名,GPS纬度,GPS经度,综合感知得分,街巷空间与交通通达,建筑风貌与界面品质,便民生活与服务韧性,环境秩序与生态韧性,公共安全与心理感知,场所氛围与情感价值,针灸式更新潜力
1,1 (1).HEIC,30.619358,114.235550,0.3925,0.45,0.4167,0.4583,0.3571,0.375,0.2857,0.6095
2,1 (10).HEIC,30.618708,114.236253,0.3092,0.2,0.3333,0.25,0.3571,0.5,0.25,0.6849
3,1 (11).HEIC,30.618564,114.236344,0.3413,0.3,0.3333,0.25,0.3214,0.625,0.25,0.6534
4,1 (12).HEIC,30.618472,114.236411,0.2985,0.25,0.25,0.25,0.4286,0.375,0.25,0.6994
5,1 (13).HEIC,30.618375,114.236617,0.3852,0.2,0.4167,0.25,0.3571,0.875,0.2857,0.6026
6,1 (14).HEIC,30.618264,114.236589,0.3416,0.2,0.3333,0.2917,0.3929,0.625,0.25,0.6512
7,1 (15).HEIC,30.618067,114.236572,0.4082,0.2,0.5,0.2917,0.5357,0.625,0.3571,0.5817
8,1 (16).HEIC,30.618172,114.236825,0.301,0.25,0.3333,0.25,0.2857,0.5,0.2143,0.6944
9,1 (17).HEIC,30.618067,114.236969,0.3775,0.3,0.4167,0.25,0.4286,0.625,0.2857,0.6157
10,1 (18).HEIC,30.618139,114.237367,0.3278,0.2,0.4167,0.25,0.3929,0.5,0.25,0.6651
11,1 (19).HEIC,30.619364,114.235497,0.4184,0.4,0.4167,0.4167,0.4286,0.5,0.3571,0.5802
12,1 (2).HEIC,30.619258,114.235656,0.4476,0.3,0.5,0.375,0.4286,0.625,0.5,0.5452
13,1 (20).HEIC,30.617642,114.233247,0.3637,0.25,0.4167,0.2917,0.3571,0.625,0.2857,0.629
14,1 (21).HEIC,30.617886,114.232994,0.348,0.25,0.3333,0.25,0.3214,0.5,0.4643,0.6468
15,1 (22).HEIC,30.617558,114.232886,0.3578,0.25,0.4167,0.2917,0.3929,0.625,0.2143,0.6349
16,1 (23).HEIC,30.617222,114.232375,0.4022,0.35,0.3333,0.4167,0.3929,0.5,0.4286,0.5964
17,1 (24).HEIC,30.617717,114.231994,0.4144,0.35,0.5,0.2917,0.3929,0.75,0.25,0.5776
18,1 (25).HEIC,30.617944,114.232506,0.2651,0.2,0.3333,0.25,0.2857,0.25,0.2857,0.7325
19,1 (26).HEIC,30.618097,114.231850,0.5214,0.4,0.6667,0.5417,0.3929,0.625,0.5357,0.473
20,1 (27).HEIC,30.618439,114.231689,0.4251,0.3,0.5833,0.4167,0.3929,0.5,0.3929,0.569
21,1 (28).HEIC,30.618467,114.231011,0.328,0.3,0.3333,0.25,0.3571,0.5,0.25,0.6683
22,1 (29).HEIC,30.618347,114.230378,,,,,,,,
23,1 (3).HEIC,30.619458,114.236092,0.3003,0.15,0.25,0.25,0.3571,0.625,0.2143,0.6923
24,1 (30).HEIC,30.618036,114.230553,0.4073,0.2,0.4167,0.4167,0.4286,0.75,0.2857,0.5837
25,1 (31).HEIC,30.617908,114.230614,0.4022,0.35,0.3333,0.4583,0.4286,0.375,0.4643,0.5984
26,1 (32).HEIC,30.617764,114.230675,0.4211,0.25,0.4167,0.4583,0.3929,0.5,0.5357,0.5744
27,1 (33).HEIC,30.617636,114.230842,0.3278,0.2,0.4167,0.25,0.3929,0.5,0.25,0.6651
28,1 (34).HEIC,30.617486,114.230828,0.3451,0.25,0.3333,0.3333,0.3929,0.5,0.2857,0.6508
29,1 (35).HEIC,30.617375,114.230911,0.4066,0.35,0.5833,0.3333,0.3929,0.375,0.4286,0.5895
30,1 (36).HEIC,30.617225,114.230942,0.4428,0.35,0.4167,0.5,0.3571,0.625,0.4286,0.5538
31,1 (37).HEIC,30.617111,114.231011,0.4407,0.25,0.3333,0.4167,0.3929,0.875,0.4286,0.5506
32,1 (38).HEIC,30.616969,114.231086,0.3519,0.2,0.3333,0.2083,0.4286,0.75,0.25,0.6383
33,1 (39).HEIC,30.616828,114.231108,0.4557,0.4,0.5833,0.375,0.4286,0.625,0.3571,0.5385
34,1 (4).HEIC,30.619197,114.235786,0.3936,0.25,0.3333,0.25,0.4643,0.875,0.25,0.5962
35,1 (40).HEIC,30.616628,114.231278,0.4183,0.35,0.5833,0.2917,0.3571,0.5,0.4643,0.5756
36,1 (41).HEIC,30.620139,114.236528,0.4744,0.45,0.5,0.5417,0.5,0.5,0.3571,0.5252
37,1 (5).HEIC,30.619039,114.235917,0.3945,0.45,0.3333,0.25,0.3214,0.75,0.2857,0.6016
38,1 (6).HEIC,30.619403,114.236336,0.3212,0.3,0.25,0.2083,0.2857,0.625,0.2857,0.6742
39,1 (7).HEIC,30.618947,114.235986,0.3364,0.3,0.4167,0.3333,0.3214,0.375,0.2857,0.6613
40,1 (8).HEIC,30.618811,114.236061,0.3811,0.35,0.4167,0.25,0.3929,0.625,0.2857,0.6133
41,1 (9).HEIC,30.618892,114.236114,0.3825,0.35,0.4167,0.2917,0.3571,0.625,0.2857,0.6123
42,2 (1).jpg,30.619976,114.235762,0.4551,0.35,0.5833,0.4167,0.3929,0.75,0.2857,0.5369
43,2 (10).jpg,30.619445,114.235577,0.5083,0.5,0.5833,0.5,0.3929,0.625,0.4643,0.4891
44,2 (11).jpg,30.619302,114.235419,0.4246,0.3,0.4167,0.4583,0.3929,0.5,0.5,0.572
45,2 (12).jpg,30.618955,114.234938,0.3175,0.2,0.4167,0.3333,0.3929,0.375,0.2143,0.678
46,2 (13).jpg,30.618507,114.234308,0.3269,0.2,0.3333,0.2083,0.3929,0.625,0.25,0.6651
